equipo,grupo,titulos,subcampeonatos,ranking FIFA,partido1,indice_partido,W-L1,W-Lgoles1,partido2,indice_partido,W-L2,W-Lgoles2,partido3,indice_partido,W-L3,W-Lgoles3
Brasil,A,8,11,3,Bolivia,1,16,38,Venezuela,7,20,15,Peru,13,25,36
Bolivia,A,1,1,63,Brasil,1,-16,-38,Peru,7,-8,-25,Venzuela,13,6,27
Venezuela,A,0,0,29,Peru,2,-13,-23,Brasil,8,-20,-15,Bolivia,14,-6,-27
Peru,A,2,0,21,Venezuela,2,13,23,Bolivia,8,8,25,Brasil,14,-25,-36
Argentina,B,14,14,11,Colombia,3,11,33,Paraguay,9,39,106,Qatar,15,-1,-3
Colombia,B,1,1,12,Argentina,3,-11,-33,Qatar,9,0,0,Paraguay,15,1,2
Paraguay,B,2,6,36,Qatar,4,0,1,Argentina,10,-39,-106,Colombia,16,-1,-2
Qatar,B,0,0,55,Paraguay,4,0,-1,Colombia,10,0,0,Argentina,16,1,3
Uruguay,C,15,6,6,Ecuador,5,23,67,Japon,11,2,4,Chile,17,27,59
Ecuador,C,0,0,59,Uruguay,5,-23,-67,Chile,11,-18,-47,Japon,17,-2,-4
Japon,C,0,0,26,Chile,6,1,4,Uruguay,12,-2,-4,Ecuador,18,2,4
Chile,C,2,4,15,Japon,6,-1,-4,Ecuador,12,18,47,Uruguay,18,-27,-59
