fecha,local,visitante,goles_local,goles_visita,torneo,ciudad,pais_x,neutral,difgol,gana_local,gana_visita,ranking_local,abrev_local,ranking_visitante,abrev_visitante,dif_ranking
1993-08-08,Bolivia,Uruguay,3,1,FIFA World Cup qualification,La Paz,Bolivia,0,2,1,0,59.0,BOL,22.0,URU,37.0
1993-08-08,Ecuador,Venezuela,5,0,FIFA World Cup qualification,Quito,Ecuador,0,5,1,0,35.0,ECU,94.0,VEN,-59.0
1993-08-08,Paraguay,Argentina,1,3,FIFA World Cup qualification,Asunción,Paraguay,0,-2,0,1,67.0,PAR,5.0,ARG,62.0
1993-08-08,Peru,Colombia,0,1,FIFA World Cup qualification,Lima,Peru,0,-1,0,1,70.0,PER,19.0,COL,51.0
1993-08-15,Bolivia,Ecuador,1,0,FIFA World Cup qualification,La Paz,Bolivia,0,1,1,0,59.0,BOL,35.0,ECU,24.0
1993-08-15,Colombia,Argentina,2,1,FIFA World Cup qualification,Barranquilla,Colombia,0,1,1,0,19.0,COL,5.0,ARG,14.0
1993-08-15,Paraguay,Peru,2,1,FIFA World Cup qualification,Asunción,Paraguay,0,1,1,0,67.0,PAR,70.0,PER,-3.0
1993-08-15,Uruguay,Brasil,1,1,FIFA World Cup qualification,Montevideo,Uruguay,0,0,0,0,22.0,URU,8.0,BRA,14.0
1993-08-22,Argentina,Peru,2,1,FIFA World Cup qualification,Buenos Aires,Argentina,0,1,1,0,5.0,ARG,70.0,PER,-65.0
1993-08-22,Bolivia,Venezuela,7,0,FIFA World Cup qualification,La Paz,Bolivia,0,7,1,0,59.0,BOL,94.0,VEN,-35.0
1993-08-22,Brasil,Ecuador,2,0,FIFA World Cup qualification,São Paulo,Brasil,0,2,1,0,8.0,BRA,35.0,ECU,-27.0
1993-08-22,Paraguay,Colombia,1,1,FIFA World Cup qualification,Asunción,Paraguay,0,0,0,0,67.0,PAR,19.0,COL,48.0
1993-08-29,Argentina,Paraguay,0,0,FIFA World Cup qualification,Buenos Aires,Argentina,0,0,0,0,5.0,ARG,67.0,PAR,-62.0
1993-08-29,Brasil,Bolivia,6,0,FIFA World Cup qualification,Recife,Brasil,0,6,1,0,8.0,BRA,59.0,BOL,-51.0
1993-08-29,Colombia,Peru,4,0,FIFA World Cup qualification,Barranquilla,Colombia,0,4,1,0,19.0,COL,70.0,PER,-51.0
1993-08-29,Uruguay,Venezuela,4,0,FIFA World Cup qualification,Montevideo,Uruguay,0,4,1,0,22.0,URU,94.0,VEN,-72.0
1993-09-05,Argentina,Colombia,0,5,FIFA World Cup qualification,Buenos Aires,Argentina,0,-5,0,1,5.0,ARG,19.0,COL,-14.0
1993-09-05,Brasil,Venezuela,4,0,FIFA World Cup qualification,Belo Horizonte,Brasil,0,4,1,0,8.0,BRA,94.0,VEN,-86.0
1993-09-05,Ecuador,Uruguay,0,1,FIFA World Cup qualification,Guayaquil,Ecuador,0,-1,0,1,35.0,ECU,22.0,URU,13.0
1993-09-05,Peru,Paraguay,2,2,FIFA World Cup qualification,Lima,Peru,0,0,0,0,70.0,PER,67.0,PAR,3.0
1993-09-12,Uruguay,Bolivia,2,1,FIFA World Cup qualification,Montevideo,Uruguay,0,1,1,0,22.0,URU,59.0,BOL,-37.0
1993-09-12,Venezuela,Ecuador,2,1,FIFA World Cup qualification,Puerto Ordaz,Venezuela,0,1,1,0,94.0,VEN,35.0,ECU,59.0
1993-09-19,Brasil,Uruguay,2,0,FIFA World Cup qualification,Rio de Janeiro,Brasil,0,2,1,0,8.0,BRA,22.0,URU,-14.0
1993-09-19,Ecuador,Bolivia,1,1,FIFA World Cup qualification,Guayaquil,Ecuador,0,0,0,0,35.0,ECU,59.0,BOL,-24.0
1994-01-28,Venezuela,Colombia,1,2,Friendly,Barinas,Venezuela,0,-1,0,1,93.0,VEN,21.0,COL,72.0
1994-02-20,Bolivia,Colombia,0,2,Friendly,Miami,USA,1,-2,0,1,55.0,BOL,20.0,COL,35.0
1994-03-23,Brasil,Argentina,2,0,Friendly,Recife,Brasil,0,2,1,0,2.0,BRA,8.0,ARG,-6.0
1994-04-07,Colombia,Bolivia,0,1,Friendly,Villavicencio,Colombia,0,-1,0,1,20.0,COL,56.0,BOL,-36.0
1994-05-03,Colombia,Peru,1,0,Friendly,Miami,USA,1,1,1,0,20.0,COL,72.0,PER,-52.0
1994-05-18,Chile,Argentina,3,3,Friendly,Santiago,Chile,0,0,0,0,40.0,CHI,6.0,ARG,34.0
1994-05-25,Chile,Peru,2,1,Friendly,Santiago,Chile,0,1,1,0,40.0,CHI,69.0,PER,-29.0
1994-05-25,Ecuador,Argentina,1,0,Friendly,Guayaquil,Ecuador,0,1,1,0,47.0,ECU,6.0,ARG,41.0
1994-06-08,Bolivia,Peru,0,0,Friendly,Santa Cruz,Bolivia,0,0,0,0,43.0,BOL,69.0,PER,-26.0
1994-08-17,Peru,Ecuador,2,0,Friendly,Lima,Peru,0,2,1,0,72.0,PER,46.0,ECU,26.0
1994-09-21,Chile,Bolivia,1,2,Friendly,Santiago,Chile,0,-1,0,1,43.0,CHI,44.0,BOL,-1.0
1994-09-21,Ecuador,Peru,0,0,Friendly,Machala,Ecuador,0,0,0,0,53.0,ECU,65.0,PER,-12.0
1994-10-19,Peru,Uruguay,0,1,Friendly,Lima,Peru,0,-1,0,1,65.0,PER,36.0,URU,29.0
1994-11-16,Chile,Argentina,0,3,Friendly,Santiago,Chile,0,-3,0,1,46.0,CHI,9.0,ARG,37.0
1995-01-08,Japon,Argentina,1,5,Confederations Cup,Riyadh,Saudi Arabia,1,-4,0,1,36.0,JPN,10.0,ARG,26.0
1995-03-22,Colombia,Uruguay,2,1,Friendly,Medellín,Colombia,0,1,1,0,16.0,COL,36.0,URU,-20.0
1995-04-03,Bolivia,Venezuela,0,0,Friendly,Sucre,Bolivia,0,0,0,0,48.0,BOL,121.0,VEN,-73.0
1995-04-05,Uruguay,Peru,1,0,Friendly,Montevideo,Uruguay,0,1,1,0,36.0,URU,76.0,PER,-40.0
1995-04-19,Peru,Chile,6,0,Friendly,Lima,Peru,0,6,1,0,73.0,PER,43.0,CHI,30.0
1995-05-14,Bolivia,Paraguay,1,1,Copa Paz del Chaco,Cochabamba,Bolivia,0,0,0,0,55.0,BOL,101.0,PAR,-46.0
1995-05-28,Japon,Ecuador,3,0,Kirin Cup,Tokyo,Japon,0,3,1,0,35.0,JPN,62.0,ECU,-27.0
1995-05-31,Argentina,Peru,1,0,Friendly,Córdoba,Argentina,0,1,1,0,8.0,ARG,69.0,PER,-61.0
1995-06-06,Brasil,Japon,3,0,Friendly,Liverpool,England,1,3,1,0,1.0,BRA,35.0,JPN,-34.0
